era,era_family,frozen_compound_signature_positive,Y_eligible,approaches
phase3b,phase3,False,False,0
phase3b,phase3,False,True,0
phase3b,phase3,True,False,3
phase3b,phase3,True,True,0
phase3c,phase3,False,False,0
phase3c,phase3,False,True,0
phase3c,phase3,True,False,3
phase3c,phase3,True,True,0
phase3d,phase3,False,False,0
phase3d,phase3,False,True,0
phase3d,phase3,True,False,3
phase3d,phase3,True,True,0
phase3e,phase3,False,False,0
phase3e,phase3,False,True,0
phase3e,phase3,True,False,4
phase3e,phase3,True,True,0
phase3f,phase3,False,False,0
phase3f,phase3,False,True,0
phase3f,phase3,True,False,3
phase3f,phase3,True,True,0
phase3g,phase3,False,False,0
phase3g,phase3,False,True,0
phase3g,phase3,True,False,4
phase3g,phase3,True,True,0
phase3h,phase3,False,False,0
phase3h,phase3,False,True,0
phase3h,phase3,True,False,4
phase3h,phase3,True,True,0
phase3i,phase3,False,False,0
phase3i,phase3,False,True,0
phase3i,phase3,True,False,3
phase3i,phase3,True,True,0
phase3j,phase3,False,False,0
phase3j,phase3,False,True,0
phase3j,phase3,True,False,4
phase3j,phase3,True,True,0
phase4a,phase4,False,False,0
phase4a,phase4,False,True,0
phase4a,phase4,True,False,3
phase4a,phase4,True,True,0
phase4b,phase4,False,False,0
phase4b,phase4,False,True,0
phase4b,phase4,True,False,5
phase4b,phase4,True,True,0
phase4c,phase4,False,False,0
phase4c,phase4,False,True,0
phase4c,phase4,True,False,3
phase4c,phase4,True,True,0
phase5,phase5,False,False,1
phase5,phase5,False,True,0
phase5,phase5,True,False,1
phase5,phase5,True,True,0
phase5b,phase5,False,False,5
phase5b,phase5,False,True,0
phase5b,phase5,True,False,0
phase5b,phase5,True,True,0
phase5c,phase5,False,False,4
phase5c,phase5,False,True,1
phase5c,phase5,True,False,0
phase5c,phase5,True,True,0
phase5d,phase5,False,False,4
phase5d,phase5,False,True,2
phase5d,phase5,True,False,0
phase5d,phase5,True,True,0
phase5e,phase5,False,False,6
phase5e,phase5,False,True,0
phase5e,phase5,True,False,0
phase5e,phase5,True,True,0
phase5f,phase5,False,False,5
phase5f,phase5,False,True,2
phase5f,phase5,True,False,0
phase5f,phase5,True,True,0
phase6a,phase6,False,False,4
phase6a,phase6,False,True,2
phase6a,phase6,True,False,0
phase6a,phase6,True,True,0
phase6b,phase6,False,False,3
phase6b,phase6,False,True,2
phase6b,phase6,True,False,0
phase6b,phase6,True,True,0
phase6c,phase6,False,False,7
phase6c,phase6,False,True,0
phase6c,phase6,True,False,0
phase6c,phase6,True,True,0
phase6d,phase6,False,False,5
phase6d,phase6,False,True,1
phase6d,phase6,True,False,0
phase6d,phase6,True,True,0
phase6e,phase6,False,False,3
phase6e,phase6,False,True,2
phase6e,phase6,True,False,0
phase6e,phase6,True,True,0
phase6f,phase6,False,False,9
phase6f,phase6,False,True,1
phase6f,phase6,True,False,0
phase6f,phase6,True,True,0
phase6g,phase6,False,False,8
phase6g,phase6,False,True,1
phase6g,phase6,True,False,0
phase6g,phase6,True,True,0
phase6h,phase6,False,False,3
phase6h,phase6,False,True,2
phase6h,phase6,True,False,0
phase6h,phase6,True,True,0
phase6i,phase6,False,False,17
phase6i,phase6,False,True,2
phase6i,phase6,True,False,1
phase6i,phase6,True,True,0
phase6j,phase6,False,False,9
phase6j,phase6,False,True,1
phase6j,phase6,True,False,0
phase6j,phase6,True,True,0
phase6k,phase6,False,False,8
phase6k,phase6,False,True,1
phase6k,phase6,True,False,0
phase6k,phase6,True,True,0
phase6l,phase6,False,False,4
phase6l,phase6,False,True,2
phase6l,phase6,True,False,1
phase6l,phase6,True,True,0
phase7m,phase7,False,False,5
phase7m,phase7,False,True,1
phase7m,phase7,True,False,0
phase7m,phase7,True,True,0
