diagnostic_only,approach_id,cluster_id,flight,flight_id,era,recording_regime,anchor_frame_id,age_s,age_bin,v_ref_pseudo_full_mps,v_latch_true_mps,auth_at_latch,delta_latch_mps,n_full_at_latch,span_full_at_latch_s,eval_n,eval_span_s,anchor_policy,v_anchor_mps,r_v_mps,rv2_m2ps2
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,301,0.1,0p10-0p20,-0.8818391210899681,-1.2884062220334602,0.12937132517496747,1.1217234017253181,4,0.09702849388122559,10,0.29855871200561523,old_policy_attenuated,-0.1666828203081421,-0.715156300781826,0.5114485345479456
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,301,0.2,0p20-0p30,-0.531303844636733,-1.2884062220334602,0.12937132517496747,1.1217234017253181,4,0.09702849388122559,9,0.26386189460754395,old_policy_attenuated,-0.1666828203081421,-0.3646210243285909,0.13294849138243087
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,301,0.3,0p30-0p40,0.8041645952811729,-1.2884062220334602,0.12937132517496747,1.1217234017253181,4,0.09702849388122559,5,0.13219022750854492,old_policy_attenuated,-0.1666828203081421,0.970847415589315,0.9425447043564521
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,302,0.1,0p10-0p20,-0.6184626597018491,-1.4728640200127274,0.21983742713928223,1.1490733833271092,5,0.13190245628356934,10,0.29877209663391113,old_policy_attenuated,-0.3237906366856183,-0.2946720230162308,0.08683160114847806
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,302,0.2,0p20-0p30,-0.2722692498317256,-1.4728640200127274,0.21983742713928223,1.1490733833271092,5,0.13190245628356934,8,0.22936701774597168,old_policy_attenuated,-0.3237906366856183,0.05152138685389268,0.0026544533033484655
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,302,0.3,0p30-0p40,1.3330821786347422,-1.4728640200127274,0.21983742713928223,1.1490733833271092,5,0.13190245628356934,4,0.09743332862854004,old_policy_attenuated,-0.3237906366856183,1.6568728153203605,2.7452275261476173
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,303,0.1,0p10-0p20,-0.531303844636733,-1.2782267223614459,0.33273220062255865,0.8529195321355616,6,0.1663661003112793,9,0.26386189460754395,old_policy_attenuated,-0.4253071902258842,-0.10599665441084877,0.011235290746292906
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,303,0.2,0p20-0p30,0.36525740068935153,-1.2782267223614459,0.33273220062255865,0.8529195321355616,6,0.1663661003112793,6,0.16675376892089844,old_policy_attenuated,-0.4253071902258842,0.7905645909152357,0.624992372408974
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,304,0.1,0p10-0p20,-0.531303844636733,-1.3036138179459074,0.4531795978546142,0.7128426321714628,7,0.19421982765197754,9,0.26386189460754395,old_policy_attenuated,-0.5907711857744445,0.05946734113771157,0.003536364661988963
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,304,0.2,0p20-0p30,0.36525740068935153,-1.3036138179459074,0.4531795978546142,0.7128426321714628,7,0.19421982765197754,6,0.16675376892089844,old_policy_attenuated,-0.5907711857744445,0.9560285864637961,0.913990658135964
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,305,0.1,0p10-0p20,-0.2722692498317256,-1.3399176769780243,0.6105225880940757,0.5218676689963992,8,0.22894597053527832,8,0.22936701774597168,old_policy_attenuated,-0.8180500079816251,0.5457807581498995,0.29787663596667907
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,305,0.2,0p20-0p30,0.8041645952811729,-1.3399176769780243,0.6105225880940757,0.5218676689963992,8,0.22894597053527832,5,0.13219022750854492,old_policy_attenuated,-0.8180500079816251,1.622214603262798,2.631580219039077
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,306,0.1,0p10-0p20,0.36525740068935153,-1.430834180969561,0.7910349369049072,0.29899435490491966,9,0.26367831230163574,6,0.16675376892089844,old_policy_attenuated,-1.1318398260646414,1.497097226753993,2.241300106354497
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,306,0.2,0p20-0p30,1.3330821786347422,-1.430834180969561,0.7910349369049072,0.29899435490491966,9,0.26367831230163574,4,0.09743332862854004,old_policy_attenuated,-1.1318398260646414,2.4649220046993836,6.075840489251228
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,307,0.1,0p10-0p20,0.8041645952811729,-1.4213882436946526,0.9952950477600098,0.0066875638010668315,10,0.29858851432800293,5,0.13219022750854492,old_policy_attenuated,-1.4147006798935857,2.2188652751747586,4.923363109376357
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,308,0.1,0p10-0p20,1.3330821786347422,-1.4012414091659222,1.0,0.0,11,0.3330833911895752,4,0.09743332862854004,old_policy_attenuated,-1.4012414091659222,2.7343235878006644,7.476525482803098
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,phase6l,terminal_live,309,0.1,0p10-0p20,1.3330821786347422,-1.3999162957571876,1.0,0.0,11,0.3334083557128906,4,0.09743332862854004,old_policy_attenuated,-1.3999162957571876,2.7329984743919296,7.469280661028614
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,212,0.1,0p10-0p20,-0.0,-0.0,0.1296396255493164,0.0,4,0.0972297191619873,7,0.29848456382751465,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,212,0.2,0p20-0p30,-0.0,-0.0,0.1296396255493164,0.0,4,0.0972297191619873,9,0.29848146438598633,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,212,0.3,0p30-0p40,-0.0,-0.0,0.1296396255493164,0.0,4,0.0972297191619873,9,0.26386260986328125,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,212,0.4,0p40-0p50,-0.0,-0.0,0.1296396255493164,0.0,4,0.0972297191619873,9,0.26386380195617676,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,212,0.5,gt0p50,-0.0,-0.0,0.1296396255493164,0.0,4,0.0972297191619873,5,0.1318984031677246,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,213,0.1,0p10-0p20,-0.0,-0.0,0.2198914686838786,0.0,5,0.13193488121032715,7,0.22919464111328125,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,213,0.2,0p20-0p30,-0.0,-0.0,0.2198914686838786,0.0,5,0.13193488121032715,10,0.33330559730529785,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,213,0.3,0p30-0p40,-0.0,-0.0,0.2198914686838786,0.0,5,0.13193488121032715,10,0.298630952835083,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,213,0.4,0p40-0p50,-0.0,-0.0,0.2198914686838786,0.0,5,0.13193488121032715,7,0.2011852264404297,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,213,0.5,gt0p50,-0.0,-0.0,0.2198914686838786,0.0,5,0.13193488121032715,4,0.09707427024841309,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,214,0.1,0p10-0p20,-0.0,-0.0,0.3332839012145996,0.0,6,0.1666419506072998,8,0.26378679275512695,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,214,0.2,0p20-0p30,-0.0,-0.0,0.3332839012145996,0.0,6,0.1666419506072998,9,0.2985806465148926,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,214,0.3,0p30-0p40,-0.0,-0.0,0.3332839012145996,0.0,6,0.1666419506072998,9,0.26386380195617676,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,214,0.4,0p40-0p50,-0.0,-0.0,0.3332839012145996,0.0,6,0.1666419506072998,6,0.16659307479858398,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,215,0.1,0p10-0p20,-0.0,-0.0,0.4536897341410319,0.0,7,0.19443845748901367,9,0.29848146438598633,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,215,0.2,0p20-0p30,-0.0,-0.0,0.4536897341410319,0.0,7,0.19443845748901367,10,0.33318161964416504,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,215,0.3,0p30-0p40,-0.0,-0.0,0.4536897341410319,0.0,7,0.19443845748901367,9,0.26386380195617676,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,215,0.4,0p40-0p50,-0.0,-0.0,0.4536897341410319,0.0,7,0.19443845748901367,6,0.16659307479858398,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,216,0.1,0p10-0p20,-0.0,-0.0,0.6109778086344402,0.0,8,0.22911667823791504,10,0.33330559730529785,old_policy_attenuated,-0.0,0.0,0.0
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,phase6l,terminal_live,216,0.2,0p20-0p30,-0.0,-0.0,0.6109778086344402,0.0,8,0.22911667823791504,10,0.298630952835083,old_policy_attenuated,-0.0,0.0,0.0
